concept_id,callout_id,allocation_basis,shares_keywords_with,level_of_truth,iqs,scored_asof,valid_from
CG-0001,CB-2025-001,concept_exclusive,,commercial-outcome,1.000,2026-07-02,2026-07-05
CG-0001,CB-2025-020,concept_exclusive,,commercial-outcome,1.000,2026-07-02,2026-07-05
CG-0001,CB-2025-025,shared_keywords_review,CG-0018,commercial-outcome,1.000,2026-07-02,2026-07-05
CG-0001,CB-2026-027,shared_keywords_review,CG-0003,commercial-outcome,0.917,2026-07-02,2026-07-05
CG-0002,CB-2025-002,concept_exclusive,,commercial-outcome,0.855,2026-07-02,2026-07-05
CG-0003,CB-2025-003,shared_keywords_review,CG-0020,commercial-outcome,1.000,2026-07-02,2026-07-05
CG-0003,CB-2026-034,shared_keywords_review,CG-0001;CG-0020,commercial-outcome,0.336,2026-07-02,2026-07-05
CG-0004,CB-2025-004,concept_exclusive,,commercial-outcome,1.000,2026-07-02,2026-07-05
CG-0005,CB-2025-005,concept_exclusive,,commercial-outcome,0.459,2026-07-02,2026-07-05
CG-0006,CB-2025-006,concept_exclusive,,commercial-outcome,0.000,2026-07-02,2026-07-05
CG-0007,CB-2025-007,shared_keywords_review,CG-0018;CG-0021,commercial-outcome,0.780,2026-07-02,2026-07-05
CG-0008,CB-2025-008,concept_exclusive,,commercial-outcome,0.975,2026-07-02,2026-07-05
CG-0009,CB-2025-009,concept_exclusive,,commercial-outcome,1.000,2026-07-02,2026-07-05
CG-0010,CB-2025-010,shared_keywords_review,CG-0027,commercial-outcome,0.917,2026-07-02,2026-07-05
CG-0010,CB-2025-022,shared_keywords_review,CG-0027,commercial-outcome,0.917,2026-07-02,2026-07-05
CG-0011,CB-2025-011,concept_exclusive,,commercial-outcome,0.865,2026-07-02,2026-07-05
CG-0012,CB-2025-012,concept_exclusive,,commercial-outcome,1.000,2026-07-02,2026-07-05
CG-0013,CB-2025-013,shared_keywords_review,CG-0014;CG-0023;CG-0024,commercial-outcome,0.000,2026-07-02,2026-07-05
CG-0014,CB-2025-014,shared_keywords_review,CG-0013;CG-0023,commercial-outcome,1.000,2026-07-02,2026-07-05
CG-0015,CB-2025-015,concept_exclusive,,commercial-outcome,1.000,2026-07-02,2026-07-05
CG-0016,CB-2025-016,concept_exclusive,,commercial-outcome,0.900,2026-07-02,2026-07-05
CG-0017,CB-2025-017,concept_exclusive,,commercial-outcome,1.000,2026-07-02,2026-07-05
CG-0018,CB-2025-018,shared_keywords_review,CG-0001;CG-0007;CG-0021,commercial-outcome,1.000,2026-07-02,2026-07-05
CG-0019,CB-2025-019,shared_keywords_review,CG-0023,commercial-outcome,0.652,2026-07-02,2026-07-05
CG-0020,CB-2025-021,shared_keywords_review,CG-0003,commercial-outcome,0.462,2026-07-02,2026-07-05
CG-0021,CB-2025-023,shared_keywords_review,CG-0007;CG-0018,commercial-outcome,1.000,2026-07-02,2026-07-05
CG-0022,CB-2025-024,concept_exclusive,,commercial-outcome,1.000,2026-07-02,2026-07-05
CG-0023,CB-2025-026,shared_keywords_review,CG-0013;CG-0014;CG-0019,commercial-outcome,0.652,2026-07-02,2026-07-05
CG-0024,CB-2026-028,shared_keywords_review,CG-0013,commercial-outcome,0.785,2026-07-02,2026-07-05
CG-0025,CB-2026-029,concept_exclusive,,commercial-outcome,0.670,2026-07-02,2026-07-05
CG-0026,CB-2026-030,concept_exclusive,,commercial-outcome,0.695,2026-07-02,2026-07-05
CG-0027,CB-2026-031,shared_keywords_review,CG-0010,commercial-outcome,0.443,2026-07-02,2026-07-05
CG-0028,CB-2026-032,concept_exclusive,,commercial-outcome,0.683,2026-07-02,2026-07-05
CG-0029,CB-2026-033,concept_exclusive,,commercial-outcome,0.000,2026-07-02,2026-07-05
