concept_id,search_text,best_rank,n_periods
CG-0002,water bottle with time marker,6388,8
CG-0002,motivational water bottle,16500,8
CG-0003,charcuterie boards,437,8
CG-0003,charcuterie cups,1009,8
CG-0003,charcuterie,1350,1
CG-0003,charcuterie boxes,2422,8
CG-0003,charcuterie accessories,2934,8
CG-0006,oil sprayer for cooking,369,8
CG-0006,olive oil sprayer,1343,8
CG-0006,oil sprayer,1593,8
CG-0006,cooking oil sprayer,7317,8
CG-0006,olivia oil sprayer,11238,1
CG-0008,air fryer liners disposable,134,8
CG-0008,air fryer liners,174,8
CG-0008,ninja air fryer liners,4527,8
CG-0008,air fryer liner,5060,8
CG-0008,silicone air fryer liners,5283,8
CG-0009,dupasu electric lunch box food warmer 100w heated,1044,3
CG-0009,electric lunch box,1345,8
CG-0009,electric lunch box for adults,4445,8
CG-0009,east oak cordless electric lunch box for adults,9414,2
CG-0009,cordless electric lunch box,13704,8
CG-0010,candle warmer lamp,20,8
CG-0010,candle warmer,64,8
CG-0010,candle warmer lamp with timer,722,7
CG-0010,candle warmers,6092,8
CG-0010,lamp candle warmer,8594,1
CG-0011,meat thermometer,62,8
CG-0011,meat thermometer digital,191,8
CG-0011,digital meat thermometer,1087,8
CG-0011,wireless meat thermometer,1269,8
CG-0011,instant read meat thermometer,2028,8
CG-0012,meat chopper,3461,8
CG-0012,ground meat chopper,8537,8
CG-0012,meat chopper for ground beef,9255,8
CG-0012,meat chopper silicone,20000,4
CG-0013,glass food storage containers with lids,224,8
CG-0013,glass meal prep containers,306,8
CG-0013,glass food storage,1725,8
CG-0013,glass food storage containers,1846,8
CG-0013,rubbermaid glass food storage containers,3636,8
CG-0014,glass containers with bamboo lids,15049,7
CG-0014,glass jars with bamboo lids,16562,8
CG-0015,silicone spatula,526,8
CG-0015,silicone spatula set,3455,8
CG-0015,silicone utensils set for cooking,5030,8
CG-0015,silicone utensils,8731,8
CG-0015,small silicone spatula,11668,8
CG-0016,fridge organizers and storage,473,8
CG-0016,lazy susan,817,8
CG-0016,lazy susan organizer for cabinet,1572,8
CG-0016,lazy susan for table top,3025,8
CG-0016,fridge organizer,3474,8
CG-0017,bread pan,890,8
CG-0017,bread pans for homemade bread,4611,8
CG-0017,bread pans,6053,8
CG-0017,baguette bread pan,7482,8
CG-0017,banana bread pan,11011,8
CG-0018,ceramic bakeware set,15451,6
CG-0018,ceramic bakeware,22667,1
CG-0019,drink dispenser,573,8
CG-0019,drink dispensers for parties,760,8
CG-0019,beverage dispenser,1853,8
CG-0019,glass drink dispenser,4937,8
CG-0019,drink dispenser for fridge,6823,8
CG-0020,magnetic spice rack for refrigerator,2636,8
CG-0020,magnetic spice rack,3856,8
CG-0020,magnetic spice jars,13356,8
CG-0022,mixing bowls,199,8
CG-0022,cook with color mixing bowls,568,6
CG-0022,mixing bowls with lids set,870,8
CG-0022,stainless steel mixing bowls,1243,8
CG-0022,glass mixing bowls,1937,8
CG-0023,glass drink dispenser,4937,8
CG-0023,glass drink dispenser with stand,17447,8
CG-0024,bento box for kids,281,8
CG-0024,bento box,383,8
CG-0024,bento box adult,1311,8
CG-0024,bento lunch box for kids,2148,8
CG-0024,stainless steel bento box,2376,8
CG-0026,chicken shredder,143,8
CG-0026,chicken shredder tool twist,1046,8
CG-0026,chicken shredder tool,15877,8
CG-0028,double wall tumbler,22609,2
CG-0029,tramontina tri-ply clad stainless steel,3048,8
