concept_id,source,cb_product_id,asin,title,best_rank_90d,level_of_truth,match_type,match_confidence,evidence,caveats,human_review_needed,review_status,reviewer,valid_from
CG-0001,amazon,3562717,B0GW8K9DKD,Bergner 11-Piece Non-Stick Cookware Set with Detachable,26,product,rule_attribute,0.75,title ~* 'cast alumin' in mapped category,multi-token material rule,true,,,2026-07-05
CG-0001,amazon,3545010,B0GW969TGF,Bergner 11-Piece Non-Stick Cookware Set with Detachable,30,product,rule_attribute,0.75,title ~* 'cast alumin' in mapped category,multi-token material rule,true,,,2026-07-05
CG-0001,amazon,3560519,B0GTGC1SSH,Pioneer Woman 32-Piece Pot and Pans Nonstick Cast Aluminum,31,product,rule_attribute,0.75,title ~* 'cast alumin' in mapped category,multi-token material rule,true,,,2026-07-05
CG-0001,amazon,3547830,B0GZF2QSLY,Pioneer Woman Prairie Signature 14-Piece Cast Aluminum,35,product,rule_attribute,0.75,title ~* 'cast alumin' in mapped category,multi-token material rule,true,,,2026-07-05
CG-0001,amazon,3494791,B0GWWGVVKD,Pioneer Woman 32-Piece Nonstick Cast Aluminum Cookware,38,product,rule_attribute,0.75,title ~* 'cast alumin' in mapped category,multi-token material rule,true,,,2026-07-05
CG-0002,amazon,3425908,B0GH7LT5HZ,CIVAGO 64 oz Glass Water Bottle with Detachable Straw,1,product,rule_attribute,0.70,title ~* 'motivational|time.?marker' in mapped category,requires bottle context from category,true,,,2026-07-05
CG-0002,amazon,3389289,B0G2RTSQDW,MUKOKO 100oz Glass Water Bottle with Time Marker,1,product,rule_attribute,0.70,title ~* 'motivational|time.?marker' in mapped category,requires bottle context from category,true,,,2026-07-05
CG-0002,amazon,3398839,B0G2RTV1K1,MUKOKO 100oz Glass Water Bottle with Time Marker,2,product,rule_attribute,0.70,title ~* 'motivational|time.?marker' in mapped category,requires bottle context from category,true,,,2026-07-05
CG-0002,amazon,3247910,B0FS18K5H9,Kodrine 24oz Glass Water Bottle With Straw 2 lids,4,product,rule_attribute,0.70,title ~* 'motivational|time.?marker' in mapped category,requires bottle context from category,true,,,2026-07-05
CG-0002,amazon,3211616,B0FS182374,Kodrine 24oz Glass Water Bottle With Straw 2 lids,5,product,rule_attribute,0.70,title ~* 'motivational|time.?marker' in mapped category,requires bottle context from category,true,,,2026-07-05
CG-0003,amazon,2991650,B0FH6YL3XC,Astercook Deep-Carbonized Bamboo Cutting Boards,4,product,rule_attribute,0.55,title ~* 'charcuterie' in mapped category,single token; catches cutting boards - review,true,,,2026-07-05
CG-0003,amazon,3431098,B0GJS7YNWN,Vocvee Bamboo Cutting Boards for Kitchen Set of 3,9,product,rule_attribute,0.55,title ~* 'charcuterie' in mapped category,single token; catches cutting boards - review,true,,,2026-07-05
CG-0003,amazon,3435550,B0G4PY9Y2M,100% Pure Titanium Cutting Board Set of 3,10,product,rule_attribute,0.55,title ~* 'charcuterie' in mapped category,single token; catches cutting boards - review,true,,,2026-07-05
CG-0003,amazon,1748655,B0D2P1HSCV,ROYAL CRAFT WOOD Wooden Cutting Boards Bamboo,17,product,rule_attribute,0.55,title ~* 'charcuterie' in mapped category,single token; catches cutting boards - review,true,,,2026-07-05
CG-0003,amazon,3461389,B0G631DYNC,100% Pure Titanium Cutting Board Set of 3,34,product,rule_attribute,0.55,title ~* 'charcuterie' in mapped category,single token; catches cutting boards - review,true,,,2026-07-05
CG-0006,amazon,2001933,B0CJF94M8J,TrendPlain 16oz Olive Oil Dispenser Bottle 2 in 1,1,product,rule_attribute,0.75,title ~* 'oil spray' in mapped category,strong two-token stem,true,,,2026-07-05
