concept_id,search_text,best_rank,n_periods,level_of_truth,match_type,match_confidence,evidence,caveats,human_review_needed,review_status,reviewer,valid_from
CG-0002,water bottle with time marker,6388,8,concept,rule_keyword,0.75,term ~* 'motivational water bottle|time marker' in last 8 weekly periods,term-level; level_of_truth=concept,true,,,2026-07-05
CG-0002,motivational water bottle,16500,8,concept,rule_keyword,0.75,term ~* 'motivational water bottle|time marker' in last 8 weekly periods,term-level; level_of_truth=concept,true,,,2026-07-05
CG-0003,charcuterie boards,437,8,concept,rule_keyword,0.70,term ~* 'charcuterie' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0003,charcuterie cups,1009,8,concept,rule_keyword,0.70,term ~* 'charcuterie' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0003,charcuterie,1350,1,concept,rule_keyword,0.70,term ~* 'charcuterie' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0003,charcuterie boxes,2422,8,concept,rule_keyword,0.70,term ~* 'charcuterie' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0003,charcuterie accessories,2934,8,concept,rule_keyword,0.70,term ~* 'charcuterie' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0006,oil sprayer for cooking,369,8,concept,rule_keyword,0.80,term ~* 'oil sprayer|oil mister' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0006,olive oil sprayer,1343,8,concept,rule_keyword,0.80,term ~* 'oil sprayer|oil mister' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0006,oil sprayer,1593,8,concept,rule_keyword,0.80,term ~* 'oil sprayer|oil mister' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0006,cooking oil sprayer,7317,8,concept,rule_keyword,0.80,term ~* 'oil sprayer|oil mister' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0006,olivia oil sprayer,11238,1,concept,rule_keyword,0.80,term ~* 'oil sprayer|oil mister' in last 8 weekly periods,term family,true,,,2026-07-05
CG-0008,air fryer liners disposable,134,8,concept,rule_keyword,0.85,term ~* 'air fryer liner' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0008,air fryer liners,174,8,concept,rule_keyword,0.85,term ~* 'air fryer liner' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0008,ninja air fryer liners,4527,8,concept,rule_keyword,0.85,term ~* 'air fryer liner' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0008,air fryer liner,5060,8,concept,rule_keyword,0.85,term ~* 'air fryer liner' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0008,silicone air fryer liners,5283,8,concept,rule_keyword,0.85,term ~* 'air fryer liner' in last 8 weekly periods,exact concept term,false,,,2026-07-05
CG-0009,dupasu electric lunch box food warmer 100w heated,1044,3,concept,rule_keyword,0.85,term ~* 'electric lunch box|lunch warmer' in last 8 weekly periods,exact concept term,false,,,2026-07-05
